  (9,0)
  (7,0)
  (8,1)
  (8,1)
  (9,2)
  (9,0)
  (9,1)
  (7,0)
  (8,2)
  (8,0)
  (6,0)
  (7,0)
  (5,0)
  (7,0)
  (8,1)
  (8,0)
  (6,0)
  (8,2)
  (9,3)
  (10,4)
  (11,3)
  (10,2)
  (11,3)
  (11,2)
  (9,1)
  (9,2)
  (9,2)
  (10,2)
  (8,1)
  (9,1)
  (9,1)
  (10,2)
  (11,3)
  (11,2)
  (9,3)
  (9,2)
  (8,0)
  (9,0)
  (7,1)
  (7,0)
  (8,1)
  (8,1)
  (9,2)
  (9,0)
  (7,0)
  (7,2)
  (7,1)
  (8,0)
  (9,2)
  (10,2)
  (8,1)
  (9,3)
  (9,0)
  (8,1)
  (8,0)
  (9,2)
  (10,2)
  (11,3)
  (11,2)
  (9,1)
  (9,3)
  (8,1)
  (9,0)
  (9,1)
  (7,0)
  (7,2)
  (7,1)
  (8,0)
  (9,3)
  (10,4)
  (10,2)
  (9,1)
  (10,2)
  (8,0)
  (8,1)
  (9,0)
  (7,1)
  (8,0)
  (9,1)
  (9,0)
  (7,0)
  (8,1)
  (8,1)
  (9,2)
  (9,0)
  (9,1)
  (7,0)
  (7,2)
  (8,0)
  (6,0)
  (7,0)
  (5,0)
  (7,2)
  (8,1)
  (7,0)
  (8,1)
  (8,0)
  (6,0)
  (7,2)
  (8,1)
  (9,2)
  (9,0)
  (9,1)
  (7,0)
  (7,1)
  (8,0)
  (7,1)
  (8,0)
  (8,1)
  (6,0)
  (7,0)
  (8,1)
  (9,2)
  (10,2)
  (9,3)
  (9,1)
  (9,0)
  (8,0)
  (9,1)
  (9,1)
  (10,2)
  (8,0)
  (9,2)
  (9,0)
  (7,0)
  (8,0)
  (6,0)
  (7,1)
  (7,2)
  (7,1)
  (7,1)
  (8,0)
  (6,0)
  (7,2)
  (7,0)
  (8,0)
  (9,1)
  (9,0)
  (7,1)
  (7,0)
  (8,5)
  (9,6)
  (10,7)
  (11,7)
  (10,8)
  (9,8)
  (8,7)
  (9,7)
  (8,8)
  (7,8)
  (6,8)
  (8,6)
  (8,8)
  (9,7)
  (8,7)
  (7,8)
  (6,8)
  (9,7)
  (8,6)
  (8,8)
  (7,8)
  (8,7)
  (8,6)
  (6,8)
  (8,7)
  (7,8)
  (8,8)
  (6,8)
  (9,7)
  (10,8)
  (9,8)
  (8,7)
  (8,8)
  (7,8)
  (6,8)
  (8,6)
  (8,8)
  (8,7)
  (7,8)
  (6,8)
  (8,6)
  (8,8)
  (9,8)
  (10,8)
  (11,7)
  (8,7)
  (8,6)
  (8,7)
  (9,8)
  (10,8)
  (11,7)
  (8,8)
  (10,8)
  (11,7)
  (9,7)
  (9,8)
  (8,7)
  (8,8)
  (7,8)
  (6,8)
  (8,6)
  (8,8)
  (8,7)
  (7,8)
  (6,8)
  (8,7)
  (9,7)
  (10,8)
  (9,8)
  (10,7)
  (11,7)
  (8,8)
  (10,7)
  (9,8)
  (10,8)
  (11,7)
  (8,8)
  (8,6)
  (8,8)
  (9,8)
  (10,7)
  (11,7)
  (10,8)
  (10,8)
  (11,7)
  (10,7)
  (8,8)
  (9,7)
  (9,8)
  (10,7)
  (11,7)
  (10,8)
  (10,8)
  (11,7)
  (10,7)
  (8,6)
  (9,7)
  (9,8)
  (10,7)
  (11,7)
  (10,8)
  (10,8)
  (11,7)
  (10,7)
  (8,8)
  (8,6)
  (9,7)
  (10,8)
  (9,8)
  (10,7)
  (11,7)
  (8,7)
  (8,8)
  (7,8)
  (6,8)
  (8,8)
  (8,7)
  (7,8)
  (6,8)
  (10,7)
  (9,8)
  (10,8)
  (11,7)
  (8,7)
  (8,8)
  (7,8)
  (6,8)
  (8,8)
  (8,7)
  (7,8)
  (6,8)
  (8,8)
  (9,8)
  (10,7)
  (11,7)
  (10,8)
  (10,8)
  (11,7)
  (10,7)
  (8,7)
  (8,7)
  (9,8)
  (10,7)
  (11,7)
  (10,8)
  (10,8)
  (11,7)
  (10,7)
  (8,8)
  (8,7)
  (9,7)
  (9,8)
  (10,7)
  (11,7)
  (10,8)
  (10,8)
  (11,7)
  (10,7)
  (8,8)
  (8,8)
  (9,8)
  (10,7)
  (11,7)
  (9,7)
  (10,8)
  (10,8)
  (11,7)
  (9,7)
  (10,7)
  (9,7)
  (10,8)
  (10,7)
  (9,7)
  (10,8)
  (11,7)
  (10,7)
  (9,8)
  (8,7)
  (8,8)
  (7,8)
  (6,8)
  (8,6)
  (8,8)
  (8,7)
  (7,8)
  (6,8)
  (10,7)
  (11,7)
  (10,8)
  (9,8)
  (8,7)
  (8,8)
  (7,8)
  (6,8)
  (8,6)
  (8,8)
  (8,7)
  (7,8)
  (6,8)
  (8,6)
  (8,7)
  (9,8)
  (10,7)
  (11,7)
  (10,8)
  (10,8)
  (11,7)
  (10,7)
  (8,8)
  (8,8)
  (8,7)
  (9,8)
  (10,7)
  (11,7)
  (10,8)
  (10,8)
  (11,7)
  (10,7)
  (8,7)
  (8,8)
  (9,8)
  (10,7)
  (11,7)
  (10,8)
  (10,8)
  (11,7)
  (10,7)
  (8,6)
  (8,6)
  (9,7)
